"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"08/06/2021";"07:20:38";"2020";"2";"ELEIÇÃO ORDINÁRIA";"1";"426";"Eleições Municipais 2020";"15/11/2020";"AM";"02496";"JUTAÍ";"11";"PREFEITO";"COLIGAÇÃO";"13";"PT";"PARTIDO DOS TRABALHADORES";"40000150442";"COMPROMISSO E RESPEITO COM O POVO";"REPUBLICANOS / PT / MDB / PSD / CIDADANIA";"D";"DEFERIDO"
"08/06/2021";"07:20:38";"2020";"2";"ELEIÇÃO ORDINÁRIA";"1";"426";"Eleições Municipais 2020";"15/11/2020";"AM";"98434";"RIO PRETO DA EVA";"12";"VICE-PREFEITO";"COLIGAÇÃO";"15";"MDB";"MOVIMENTO DEMOCRÁTICO BRASILEIRO";"40000073811";"O PROGRESSO CONTINUA";"PP / REPUBLICANOS / MDB / PT / SOLIDARIEDADE / PSD";"D";"DEFERIDO"
"08/06/2021";"07:20:38";"2020";"2";"ELEIÇÃO ORDINÁRIA";"1";"426";"Eleições Municipais 2020";"15/11/2020";"AM";"02232";"CAREIRO";"12";"VICE-PREFEITO";"COLIGAÇÃO";"27";"DC";"DEMOCRACIA CRISTÃ";"40000137686";"O POVO SORRINDO DE NOVO";"PP / PSC / PSD / PSB / PROS / DC";"D";"DEFERIDO"
"08/06/2021";"07:20:38";"2020";"2";"ELEIÇÃO ORDINÁRIA";"1";"426";"Eleições Municipais 2020";"15/11/2020";"AM";"02739";"SANTO ANTÔNIO DO IÇÁ";"12";"VICE-PREFEITO";"COLIGAÇÃO";"13";"PT";"PARTIDO DOS TRABALHADORES";"40000120183";"JUNTOS COM O POVO SOMOS MAIS FORTES";"PSC / PT / PP / PSD";"D";"DEFERIDO"
"08/06/2021";"07:20:38";"2020";"2";"ELEIÇÃO ORDINÁRIA";"1";"426";"Eleições Municipais 2020";"15/11/2020";"AM";"98418";"PRESIDENTE FIGUEIREDO";"13";"VEREADOR";"PARTIDO ISOLADO";"15";"MDB";"MOVIMENTO DEMOCRÁTICO BRASILEIRO";"40000081413";"#NULO#";"MDB";"D";"DEFERIDO"
"08/06/2021";"07:20:38";"2020";"2";"ELEIÇÃO ORDINÁRIA";"1";"426";"Eleições Municipais 2020";"15/11/2020";"AM";"02453";"JAPURÁ";"12";"VICE-PREFEITO";"COLIGAÇÃO";"55";"PSD";"PARTIDO SOCIAL DEMOCRÁTICO";"40000075289";"JUNTOS POR UMA NOVA JAPURÁ";"PATRIOTA / PSD";"D";"DEFERIDO"
"08/06/2021";"07:20:38";"2020";"2";"ELEIÇÃO ORDINÁRIA";"1";"426";"Eleições Municipais 2020";"15/11/2020";"AM";"02470";"JURUÁ";"12";"VICE-PREFEITO";"COLIGAÇÃO";"15";"MDB";"MOVIMENTO DEMOCRÁTICO BRASILEIRO";"40000140042";"ALIANÇA COM O POVO";"PP / MDB / PSD / PL / REPUBLICANOS";"D";"DEFERIDO"
"08/06/2021";"07:20:38";"2020";"2";"ELEIÇÃO ORDINÁRIA";"1";"426";"Eleições Municipais 2020";"15/11/2020";"AM";"02836";"SÃO GABRIEL DA CACHOEIRA";"11";"PREFEITO";"COLIGAÇÃO";"28";"PRTB";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"40000117551";"ALIANÇA POR SÃO GABRIEL - A FORÇA VEM DO POVO";"PSL / PSC / PRTB / REPUBLICANOS";"D";"DEFERIDO"
"08/06/2021";"07:20:38";"2020";"2";"ELEIÇÃO ORDINÁRIA";"1";"426";"Eleições Municipais 2020";"15/11/2020";"AM";"02810";"TEFÉ";"11";"PREFEITO";"PARTIDO ISOLADO";"17";"PSL";"PARTIDO SOCIAL LIBERAL";"40000110455";"#NULO#";"PSL";"D";"DEFERIDO"
"08/06/2021";"07:20:38";"2020";"2";"ELEIÇÃO ORDINÁRIA";"1";"426";"Eleições Municipais 2020";"15/11/2020";"AM";"02577";"MANICORÉ";"12";"VICE-PREFEITO";"PARTIDO ISOLADO";"27";"DC";"DEMOCRACIA CRISTÃ";"40000163300";"#NULO#";"DC";"D";"DEFERIDO"
